Agency Name,State Name [District] Latest available year,County Name [District] 2014-15,Total Number Operational Schools [Public School] 2014-15,Total Number Operational Charter Schools [Public School] 2014-15,Total Number of Public Schools [Public School] 2014-15,Agency Type [District] 2014-15,Urban-centric Locale [District] 2014-15,Agency Charter Status [District] 2014-15,Lowest Grade Offered [District] 2014-15,Highest Grade Offered [District] 2014-15,"Total Students, All Grades (Excludes AE) [District] 2014-15",Full-Time Equivalent (FTE) Teachers [District] 2014-15,Pupil/Teacher Ratio [District] 2014-15
(ILC) ATOKA-COAL COUNTIES,Oklahoma,ATOKA COUNTY,0,0,†,8-Other education agencies,43-Rural: Remote,†,†,†,†,–,–
(ILC) CHOCTAW NATION,Oklahoma,BRYAN COUNTY,0,0,†,8-Other education agencies,41-Rural: Fringe,†,†,†,†,–,–
(ILC) FIVE-STAR,Oklahoma,PAYNE COUNTY,0,0,†,8-Other education agencies,32-Town: Distant,†,†,†,†,–,–
(ILC) OSAGE COUNTY,Oklahoma,OSAGE COUNTY,0,0,†,8-Other education agencies,32-Town: Distant,†,†,†,†,–,–
(ILC) POOLED INVESTMENT,Oklahoma,OKLAHOMA COUNTY,0,0,†,8-Other education agencies,11-City: Large,†,†,†,†,–,–
(ILC) SEMINOLE COUNTY,Oklahoma,SEMINOLE COUNTY,0,0,†,8-Other education agencies,32-Town: Distant,†,†,†,†,–,–
(ILC) SOUTHEASTERN OKLAHOMA,Oklahoma,MCCURTAIN COUNTY,0,0,†,8-Other education agencies,33-Town: Remote,†,†,†,†,–,–
(ILC) TRI-COUNTY,Oklahoma,CARTER COUNTY,0,0,†,8-Other education agencies,43-Rural: Remote,†,†,†,†,–,–
21ST CENTURY CHARTER SCH OF GARY,Indiana,LAKE COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Kindergarten,12th Grade,709,0,†
21ST CENTURY CYBER CS,Pennsylvania,CHESTER COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,6th Grade,12th Grade,845,37.2,22.72
21ST CENTURY PREPARATORY SCHOOL AGENCY,Wisconsin,RACINE COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Prekindergarten,8th Grade,446,–,–
A CENTER FOR CREATIVE EDUCATION,Arizona,YAVAPAI COUNTY,2,2,2,7-Independent Charter District,32-Town: Distant,1-All associated schools are charter schools,Kindergarten,6th Grade,71,–,–
A CHILD'S VIEW SCHOOL  INC.,Arizona,PIMA COUNTY,0,0,1,7-Independent Charter District,21-Suburb: Large,†,Kindergarten,5th Grade,†,†,†
A E R O  SPEC EDUC COOP,Illinois,COOK COUNTY,2,0,2,4-Regional Education Service Agency (RESA),21-Suburb: Large,3-All associated schools are noncharter,†,†,–,41.1,–
A W BEATTIE CAREER CENTER,Pennsylvania,ALLEGHENY COUNTY,1,0,1,4-Regional Education Service Agency (RESA),21-Suburb: Large,3-All associated schools are noncharter,9th Grade,12th Grade,0,29,0
A W BROWN-FELLOWSHIP LEADERSHIP ACADEMY,Texas,DALLAS COUNTY,2,2,2,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Prekindergarten,8th Grade,2152,102,21.1
A+ ACADEMY,Texas,DALLAS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Prekindergarten,12th Grade,975,73,13.36
A+ ARTS ACADEMY,Ohio,FRANKLIN COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,9th Grade,478,–,–
A+ CHILDREN'S ACADEMY,Ohio,FRANKLIN COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,6th Grade,128,–,–
A-C CENTRAL CUSD 262,Illinois,CASS COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,471,40.94,11.5
A-H-S-T COMM SCHOOL DISTRICT,Iowa,POTTAWATTAMIE COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,650,51.71,12.57
A. LINWOOD HOLTON GOV SCH,Virginia,WASHINGTON COUNTY,1,0,1,4-Regional Education Service Agency (RESA),23-Suburb: Small,3-All associated schools are noncharter,†,†,–,–,–
A.B. GRAHAM ACADEMY,Ohio,CHAMPAIGN COUNTY,0,0,1,7-Independent Charter District,42-Rural: Distant,†,Kindergarten,12th Grade,†,†,†
A.C.E. ACADEMY,North Carolina,CABARRUS COUNTY,1,1,1,7-Independent Charter District,22-Suburb: Mid-size,1-All associated schools are charter schools,Kindergarten,5th Grade,157,7,22.43
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,MEEKER COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,777,61.52,12.63
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,LINCOLN PARISH,1,0,1,8-Other education agencies,32-Town: Distant,3-All associated schools are noncharter,Kindergarten,8th Grade,383,18.25,20.99
ABBEVILLE 60,South Carolina,ABBEVILLE COUNTY,9,0,9,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,3051,213,14.32
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,CLARK COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,718,–,–
ABBOTT ISD,Texas,HILL COUNTY,1,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,264,24.23,10.9
ABBOTT UNION FREE SCHOOL DISTRICT,New York,WESTCHESTER COUNTY,0,0,1,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,†,†,†,†,†
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,WORCESTER COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,Kindergarten,12th Grade,1428,117.04,12.2
ABC UNIFIED,California,LOS ANGELES COUNTY,30,0,30,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,12th Grade,20998,833.11,25.2
ABERDEEN DISTRICT,Idaho,BINGHAM COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,740,42.77,17.3
ABERDEEN SCHOOL DIST,Mississippi,MONROE COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1300,93.79,13.86
ABERDEEN SCHOOL DISTRICT,Washington,GRAYS HARBOR COUNTY,11,0,11,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,3270,203.76,16.05
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,BROWN COUNTY,10,0,10,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,4383,272.47,16.09
ABERNATHY ISD,Texas,HALE COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,779,66.5,11.71
ABILENE,Kansas,DICKINSON COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1687,–,–
ABILENE ISD,Texas,TAYLOR COUNTY,36,0,40,1-Regular local school district that is NOT a component of a supervisory union,12-City: Mid-size,3-All associated schools are noncharter,Prekindergarten,12th Grade,17324,1142.28,15.17
ABINGDON-AVON CUSD 276,Illinois,KNOX COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1003,64.05,15.66
ABINGTON,Massachusetts,PLYMOUTH COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,1956,127.06,15.39
ABINGTON HEIGHTS SD,Pennsylvania,LACKAWANNA COUNTY,6,0,6,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,3286,226.08,14.53
ABINGTON SD,Pennsylvania,MONTGOMERY COUNTY,9,0,9,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,12th Grade,7674,533.3,14.39
ABQ SCHOOL OF EXCELLENCE,New Mexico,BERNALILLO COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,1st Grade,12th Grade,309,20.62,14.99
ABQ SIGN LANGUAGE ACADEMY,New Mexico,BERNALILLO COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,94,10.9,8.62
ABSAROKEE ELEM,Montana,STILLWATER COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,8th Grade,169,–,–
ABSAROKEE H S,Montana,STILLWATER COUNTY,1,†,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,9th Grade,12th Grade,81,–,–
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,ATLANTIC COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,22-Suburb: Mid-size,3-All associated schools are noncharter,Kindergarten,8th Grade,988,66.3,14.9
ACADEMIA ANTONIA ALONSO,Delaware,NEW CASTLE COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Kindergarten,1st Grade,221,15.55,14.21
ACADEMIA CESAR CHAVEZ CHARTER SCH.,Minnesota,RAMSEY COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Prekindergarten,6th Grade,353,23,15.35
ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,MIDLAND COUNTY,1,1,1,7-Independent Charter District,41-Rural: Fringe,1-All associated schools are charter schools,9th Grade,12th Grade,139,4.84,28.72
ACADEMIC ARTS HIGH SCHOOL,Minnesota,DAKOTA COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,9th Grade,12th Grade,79,5.57,14.18
ACADEMIC LEADERSHIP CHARTER SCHOOL,New York,BRONX COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Prekindergarten,6th Grade,376,18,20.89
ACADEMICS PLUS CHARTER SCHOOL,Arkansas,PULASKI COUNTY,2,2,2,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,749,58.23,12.86
ACADEMIE LAFAYETTE,Missouri,JACKSON COUNTY,2,2,2,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,871,61.7,14.12
ACADEMY CHARTER HIGH SCHOOL,New Jersey,MONMOUTH COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,9th Grade,12th Grade,192,17.25,11.13
ACADEMY CHARTER SCHOOL,New York,NASSAU COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,7th Grade,674,39,17.28
ACADEMY CS,Pennsylvania,ALLEGHENY COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,8th Grade,12th Grade,167,19.7,8.48
ACADEMY DEL SOL  INC.,Arizona,PIMA COUNTY,2,2,2,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,641,–,–
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,DALLAS COUNTY,5,5,5,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,6th Grade,12th Grade,506,50.01,10.12
ACADEMY FOR BUSINESS AND TECHNOLOGY,Michigan,WAYNE COUNTY,2,2,2,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,662,33.65,19.67
ACADEMY FOR INTEGRATED ARTS,Missouri,JACKSON COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,4th Grade,88,6,14.67
ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),Utah,SALT LAKE COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,9th Grade,12th Grade,492,–,–
ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,New Hampshire,HILLSBOROUGH COUNTY,2,2,2,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,6th Grade,12th Grade,0,28.7,0
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,New Jersey,MIDDLESEX COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,9th Grade,12th Grade,386,2.72,141.91
ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,Ohio,MAHONING COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,9th Grade,12th Grade,134,–,–
